companyId,industry_pred
company00003,RETAIL
company00017,INSURANCE
company00025,RETAIL
company00036,RETAIL
company00037,CONSULTING_AND_BUSINESS_SERVICES
company00040,HEALTH_CARE
company00047,RETAIL
company00056,CONSULTING_AND_BUSINESS_SERVICES
company00073,RETAIL
company00084,RETAIL
company00085,HEALTH_CARE
company00091,CONSULTING_AND_BUSINESS_SERVICES
company00096,RETAIL
company00106,HEALTH_CARE
company00111,HEALTH_CARE
company00118,RETAIL
company00121,RETAIL
company00131,RETAIL
company00134,CONSULTING_AND_BUSINESS_SERVICES
company00135,HEALTH_CARE
company00136,RETAIL
company00138,CONSULTING_AND_BUSINESS_SERVICES
company00142,RESTAURANTS_TRAVEL_AND_LEISURE
company00147,RETAIL
company00150,BANKS_AND_FINANCIAL_SERVICES
company00162,HEALTH_CARE
company00164,HEALTH_CARE
company00176,INTERNET_AND_SOFTWARE
company00180,RETAIL
company00190,RESTAURANTS_TRAVEL_AND_LEISURE
company00191,HUMAN_RESOURCES_AND_STAFFING
company00192,HEALTH_CARE
company00193,HEALTH_CARE
company00200,CONSULTING_AND_BUSINESS_SERVICES
company00201,CONSULTING_AND_BUSINESS_SERVICES
company00204,BANKS_AND_FINANCIAL_SERVICES
company00206,RESTAURANTS_TRAVEL_AND_LEISURE
company00216,HEALTH_CARE
company00217,HEALTH_CARE
company00218,EDUCATION_AND_SCHOOLS
company00220,EDUCATION_AND_SCHOOLS
company00245,RETAIL
company00257,EDUCATION_AND_SCHOOLS
company00258,AEROSPACE_AND_DEFENSE
company00266,RETAIL
company00270,RETAIL
company00272,RETAIL
company00274,BANKS_AND_FINANCIAL_SERVICES
company00286,HEALTH_CARE
company00287,RETAIL
company00288,HEALTH_CARE
company00295,EDUCATION_AND_SCHOOLS
company00297,RETAIL
company00300,HEALTH_CARE
company00308,CONSULTING_AND_BUSINESS_SERVICES
company00311,CONSULTING_AND_BUSINESS_SERVICES
company00312,FOOD_AND_BEVERAGES
company00320,EDUCATION_AND_SCHOOLS
company00348,RESTAURANTS_TRAVEL_AND_LEISURE
company00352,RETAIL
company00364,INTERNET_AND_SOFTWARE
company00375,EDUCATION_AND_SCHOOLS
company00377,EDUCATION_AND_SCHOOLS
company00382,HEALTH_CARE
company00384,RETAIL
company00387,HEALTH_CARE
company00396,INTERNET_AND_SOFTWARE
company00407,INTERNET_AND_SOFTWARE
company00409,RESTAURANTS_TRAVEL_AND_LEISURE
company00419,HEALTH_CARE
company00420,RETAIL
company00424,HEALTH_CARE
company00427,INTERNET_AND_SOFTWARE
company00432,AUTO
company00437,RETAIL
company00440,HEALTH_CARE
company00444,RETAIL
company00449,INTERNET_AND_SOFTWARE
company00450,AUTO
company00455,RESTAURANTS_TRAVEL_AND_LEISURE
company00461,RETAIL
company00469,RESTAURANTS_TRAVEL_AND_LEISURE
company00488,HEALTH_CARE
company00494,RETAIL
company00495,AUTO
company00497,HUMAN_RESOURCES_AND_STAFFING
company00506,HEALTH_CARE
company00522,RESTAURANTS_TRAVEL_AND_LEISURE
company00527,HEALTH_CARE
company00530,HEALTH_CARE
company00531,CONSULTING_AND_BUSINESS_SERVICES
company00543,CONSULTING_AND_BUSINESS_SERVICES
company00567,CONSULTING_AND_BUSINESS_SERVICES
company00573,CONSULTING_AND_BUSINESS_SERVICES
company00578,HEALTH_CARE
company00584,RETAIL
company00593,EDUCATION_AND_SCHOOLS
company00594,HEALTH_CARE
company00595,RESTAURANTS_TRAVEL_AND_LEISURE
company00606,HEALTH_CARE
company00610,HEALTH_CARE
company00614,CONSULTING_AND_BUSINESS_SERVICES
company00615,EDUCATION_AND_SCHOOLS
company00616,RETAIL
company00630,RESTAURANTS_TRAVEL_AND_LEISURE
company00631,HEALTH_CARE
company00634,EDUCATION_AND_SCHOOLS
company00641,HEALTH_CARE
company00648,FOOD_AND_BEVERAGES
company00652,RETAIL
company00665,HUMAN_RESOURCES_AND_STAFFING
company00670,HEALTH_CARE
company00676,CONSULTING_AND_BUSINESS_SERVICES
company00691,CONSULTING_AND_BUSINESS_SERVICES
company00694,RETAIL
company00697,RETAIL
company00704,HEALTH_CARE
company00706,HEALTH_CARE
company00715,RETAIL
company00723,RETAIL
company00740,BANKS_AND_FINANCIAL_SERVICES
company00751,MEDIA_NEWS_AND_PUBLISHING
company00754,RESTAURANTS_TRAVEL_AND_LEISURE
company00758,HEALTH_CARE
company00759,TRANSPORT_AND_FREIGHT
company00763,BANKS_AND_FINANCIAL_SERVICES
company00774,RETAIL
company00786,HEALTH_CARE
company00794,CONSULTING_AND_BUSINESS_SERVICES
company00796,RETAIL
company00801,FOOD_AND_BEVERAGES
company00804,CONSULTING_AND_BUSINESS_SERVICES
