RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445700,455700,461500,465600,466900,475600,464100,466700,467700,474200,463600,4.44E+05,434400,435400,438700,448400,453200,471800,470900,479600,4.78E+05,487200,489100,490100,4.86E+05,485300,472300,475900,475600,484400,477300,477400,484200,4.90E+05,4.91E+05,474800,477700,477500,489200,489400,481800,489400,491500,506300,508100,504500,489300,480200,485500,502300,5.16E+05,5.22E+05,522100,522800,5.23E+05,526100,528900,533800,5.35E+05,5.36E+05,543300,537800,563400,575700,583900,565800,553900,551600,544600,536100,537400,538500,539800,539300,531500,541200,537400,551100,542500,559900,559400,560100,543400,535500,541400,555800,561700
12447,Los Angeles,California,2,4.95E+05,486200,468300,455100,4.37E+05,421300,405500,400300,3.89E+05,3.78E+05,353700,339300,333100,328200,326900,327400,334200,338500,345200,352300,353700,357900,355600,356400,353500,351700,355200,350500,353300,3.49E+05,354100,356100,362600,368600,357300,351500,3.40E+05,346500,349500,3.48E+05,346600,342900,341900,338800,336900,337400,330200,3.26E+05,326500,335200,341200,344100,354400,362700,3.77E+05,382100,390500,405500,403100,407500,407800,432200,451800,463600,472200,4.74E+05,4.78E+05,483300,487700,4.89E+05,475400,476500,491100,508800,519500,511100,5.16E+05,516400,5.16E+05,517100,515500,518400,524700,535200,543900,544700,541800,5.42E+05,546400,553100,559300,5.61E+05,568200,575700,578800,579900,581900,592400,593700,593900,588300,595100,600500,609900,615500,619700,623800,627100,6.38E+05,640600,647500,646400,659200,6.54E+05,6.60E+05,663600,683300,691100,6.81E+05,686800
17426,Chicago,Illinois,3,330500,318600,291100,277500,271800,267800,264900,267400,258300,254900,242100,244300,246100,241100,229200,216900,218500,223800,223600,226900,231800,232300,233200,2.24E+05,220500,2.17E+05,221100,224700,216900,207500,191600,195100,198500,206100,201400,199500,1.91E+05,183100,174100,183600,191700,200400,1.96E+05,195700,184600,186300,178600,181900,175100,1.75E+05,171800,178300,184800,196800,203300,203500,199500,191500,198500,199400,202300,197700,209200,224200,237500,242500,2.42E+05,250200,248400,2.49E+05,243700,255900,253800,253100,248500,255600,251100,250700,253700,264100,266600,266900,2.69E+05,269600,269900,270200,270900,270500,267400,267200,265500,266100,258400,261100,264800,276200,279200,277700,274400,271100,273200,274500,268100,268800,272200,282800,2.97E+05,303500,312600,300100,2.88E+05,274700,268600,268400,265800,270300,273100,277400,283400,292100
13271,Philadelphia,Pennsylvania,4,109300,109600,1.10E+05,110300,108800,112400,1.14E+05,114400,112300,109500,107300,101800,9.90E+04,106900,109700,114400,109100,116200,120600,123500,128100,126800,124900,1.15E+05,114400,116900,119900,119900,115500,106900,104300,99700,108700,103800,107800,105200,107600,109800,108800,111500,106800,107600,105800,105400,101400,102500,103600,102500,98600,100500,105500,107200,107800,1.10E+05,111100,108200,108200,111300,115500,113500,108600,108200,108800,113900,115900,117300,116900,117800,117800,120600,122100,124800,126200,125400,125500,1.24E+05,1.21E+05,120800,118500,120800,119200,1.21E+05,121800,1.17E+05,117800,119300,123600,126900,126300,126800,126800,128400,129200,123900,128100,126200,126400,120300,122300,123800,125500,125900,129900,126700,129300,129400,133300,136600,136300,140100,140200,144600,143300,144800,145400,146700,150400,151200,153500,
40326,Phoenix,Arizona,5,224400,2.16E+05,206700,1.95E+05,185400,175500,166300,152700,138400,121800,107100,92900,82100,75200,73600,80600,87500,94700,95100,96600,103400,105200,105100,102500,103100,104800,103400,1.04E+05,101200,97800,94800,93300,89700,84900,84600,84100,84800,81700,80200,80500,82700,86200,89100,90800,95900,99700,101100,101200,1.04E+05,108900,115400,119700,125200,129900,1.30E+05,133700,137900,143500,146800,145500,1.48E+05,149700,1.54E+05,157700,162400,165300,166400,1.66E+05,165400,1.66E+05,166300,167800,169800,169500,165100,160800,163500,168600,174100,173700,1.74E+05,175800,178100,182200,183300,185200,186400,187800,1.88E+05,188300,188800,192400,196300,199300,199300,199100,204300,206900,206700,203100,203300,206500,209800,210700,212600,2.13E+05,216900,218800,222800,220500,215900,2.11E+05,214900,219500,222200,223500,226900,231400,237300,239700
18959,Las Vegas,Nevada,6,243100,2.38E+05,235200,230600,2.21E+05,210100,194800,1.85E+05,174400,165700,156900,147900,140500,130200,123800,121200,120700,118600,116200,117300,118900,121500,122500,122700,122100,123700,125800,1.29E+05,126100,1.25E+05,120300,118900,116200,114600,113600,112400,109600,108400,1.08E+05,109400,1.08E+05,104700,102500,102800,104400,105800,105900,105600,106900,109200,112900,117600,119700,122200,1.23E+05,126400,130400,1.33E+05,136200,138300,141700,144400,148500,155900,1.60E+05,162700,160700,162900,163500,166300,167100,168200,169900,171500,172600,164600,163900,167700,177600,180200,178900,178900,179400,182500,182900,1.85E+05,185700,187300,190200,189300,190300,188100,191100,193100,197700,199900,2.00E+05,199800,199100,201600,201100,201400,200800,203900,208400,2.09E+05,210300,207800,212500,213700,219700,2.29E+05,236300,241400,242700,241600,239300,237200,2.41E+05,245200
6915,San Antonio,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164700,163300,162200,1.64E+05,164100,165600,166100,169600,171600,1.73E+05,171700,171400,172100,173300,174400,174200,178700,177600,179400,1.76E+05,176300,177800,179100,179600,177400,177100,177900,178900,180600,181200,181800,179100,180300,178500,178700,177900,180200,181400,182900,186400,193300,198800,202700,200800,
54296,San Diego,California,8,427200,4.15E+05,4.01E+05,378700,369500,355900,347200,329700,316100,305400,294600,303600,298600,298400,291600,306900,321500,330200,337300,341800,339800,343700,336800,345700,349200,3.57E+05,3.51E+05,344200,347100,348800,351400,349200,356500,356300,347800,341300,339300,3.47E+05,344500,337700,331800,326900,323600,322200,321800,327200,326800,329700,337400,346200,353800,355200,365900,368900,370200,366400,375600,385500,396400,404600,414200,423300,430100,431800,433500,431800,435300,4.30E+05,431200,431600,439200,442900,447500,448400,448500,446400,450500,455900,4.59E+05,4.59E+05,457400,457600,461300,475900,4.90E+05,492100,482400,477900,4.81E+05,482700,4.72E+05,464400,468500,485400,499200,5.03E+05,497800,503300,502800,506600,502800,505200,504500,508500,512700,517200,5.26E+05,540900,551400,546800,536700,538600,546900,552700,552400,547800,559100,565500,574400,573400
38128,Dallas,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253300,254200,2.49E+05,251300,251100,253800,250400,255100,252600,269800,275100,276300,267600,262300,266600,263500,263300,261300,262100,264200,269700,271900,274100,272800,276600,275900,276300,2.73E+05,276200,280600,284400,2.81E+05,276300,277400,279300,284300,284300,285400,2.79E+05,278700,278600,284500,282500,2.87E+05,280800,
33839,San Jose,California,10,636900,600900,567500,539900,524900,512500,493200,472200,443200,4.25E+05,420400,419700,401700,371100,353600,361100,390500,3.99E+05,4.11E+05,413500,429700,443400,456300,470500,476500,460700,452900,441800,449400,448900,455500,453400,447400,442500,445600,445400,440300,426600,415300,420400,422200,428400,426600,422800,421400,4.18E+05,4.30E+05,439200,444200,445400,4.40E+05,448100,461300,488100,503300,5.12E+05,516800,523400,542500,559900,571900,575400,578900,587600,594400,596100,599500,6.04E+05,608300,611800,617300,634300,640100,642100,633700,635200,629600,637900,642800,655300,658600,662600,6.73E+05,676700,693700,697600,704200,700500,705300,714600,723600,728500,728600,733900,7.37E+05,761200,772900,779700,766600,757700,758700,7.55E+05,754200,759200,770500,777300,794600,820800,840700,833100,814900,811100,821700,830700,849300,878300,914200,957500,980600,1.04E+06
25290,Jacksonville,Florida,11,174600,169100,153600,143400,138800,139300,136300,132800,128100,126800,125300,128400,128700,124800,113800,106400,105900,1.09E+05,109600,107600,107700,109200,108100,110600,111600,111400,103600,9.70E+04,95400,91500,86400,82900,87100,92500,9.30E+04,92800,91700,90600,84600,8.20E+04,81300,85200,83300,84700,82700,88500,87100,91200,90400,93800,91600,88500,87700,89400,91800,90700,88600,90900,97700,105500,107700,107900,107900,107700,107200,108400,106700,105900,104800,105400,105700,1.06E+05,111500,112500,110300,105700,107400,107500,108800,109300,111200,112500,113500,112200,111500,110900,114400,117100,120100,122900,124600,125200,119900,1.20E+05,119500,135300,137800,140300,132400,131200,129200,127900,129100,131700,132700,133100,136900,155900,164600,165300,147800,141500,137800,143100,141400,141200,1.36E+05,140100,144400,
20330,San Francisco,California,12,790900,781800,779700,775500,785600,793100,799900,763400,723100,707700,678100,669100,631700,639300,634700,6.64E+05,690700,706900,708900,709400,702900,7.16E+05,699600,688100,665100,666700,667300,6.65E+05,681900,697500,706400,694900,693500,689700,670500,647500,636700,636200,654400,658500,685400,6.95E+05,700200,688900,664600,657300,643900,6.52E+05,647500,662700,671900,694700,709200,731800,756800,7.83E+05,787700,788500,772600,769500,770100,787400,813100,820600,836300,852300,877600,882200,879900,8.73E+05,8.97E+05,908800,929300,909800,909800,934500,963200,988300,985200,1002800,1020300,1024300,1022600,1041500,1066300,1100900,1.12E+06,1129300,1127700,1103700,1112700,1112500,1137300,1154700,1175400,1.17E+06,1152600,1147600,1142300,1150300,1151700,1161300,1159400,1187800,1184300,1211200,1124200,1128400,1108400,1.17E+06,1172700,1200100,1217200,1244900,1257700,1280600,1292500,,,
10221,Austin,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261400,263900,263500,269100,271700,272100,278400,2.82E+05,2.82E+05,279900,279200,291400,295200,296200,2.92E+05,287100,290500,287800,291400,293400,299300,3.03E+05,306100,305800,306600,305300,3.12E+05,313200,314200,314900,317600,3.18E+05,317400,318900,318700,324600,3.31E+05,336900,331600,328100,331800,343200,341300,349700,
10920,Columbus,Ohio,14,118100,111800,114500,110100,109100,103700,103900,102300,97900,92300,96100,95800,94800,89400,92600,97300,103100,108500,1.14E+05,116500,116900,112900,104500,104900,105300,106200,103800,103600,98400,87500,78400,79400,81200,88800,88900,8.50E+04,78400,77200,77900,78900,80400,88700,89400,86900,82500,86300,89600,87800,85900,89400,98700,102700,106900,105500,105600,102800,100600,101200,108900,107300,1.05E+05,95900,101400,105200,110800,113800,113500,108900,108500,109200,114400,1.14E+05,115300,118500,1.19E+05,1.21E+05,118300,119800,119900,123500,123500,126200,125500,150900,149300,147900,124900,124300,125200,124200,125800,125300,125600,125500,126400,130300,133700,137300,137500,1.34E+05,134400,136100,141500,1.45E+05,149500,166200,1.69E+05,166400,151300,1.47E+05,145100,140800,141600,143700,147700,1.48E+05,150600,,,
32811,Memphis,Tennessee,15,71800,70300,66100,64400,62500,61800,61700,60300,5.70E+04,53800,53500,55200,53800,51600,46600,47900,48600,55500,59700,61500,63700,64700,63900,59200,53900,56900,5.80E+04,59800,54900,53100,51100,50600,55500,59900,63300,63500,60100,55700,49800,48400,49200,50500,55600,58300,57600,58700,5.80E+04,60100,55600,55600,54100,53100,53100,55200,58100,60600,61200,65300,68400,70300,68600,66700,64800,66300,69800,71500,71700,71200,7.10E+04,71700,71800,76500,80200,79300,79100,7.60E+04,8.60E+04,8.50E+04,86300,86200,87200,92100,85100,86200,83900,85700,84700,85400,84200,88100,8.90E+04,89100,86700,84900,84900,83600,81600,85600,89500,93200,90700,88800,87700,88400,91600,92800,93900,92800,92900,95900,98800,9.90E+04,9.70E+04,98300,102200,103800,106500,106700,107800,103100
17933,El Paso,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26E+05,120400,120300,128500,132100,132200,132200,133100,136700,132400,133500,133400,130700,130500,130300,133500,133200,128700,128100,1.28E+05,131500,131400,131200,131200,130100,129500,131200,130800,130400,127600,127200,126900,126600,127400,129800,129300,129400,130200,131300,133200,130700,127400,126500,127200,131900,135300,135900,135600,133600,130500,128700,1.29E+05,131700,135500,136300,137900,138100,140600,144600,144100,140600,135100,133800,139300,143700,1.47E+05,145500,142500,1.43E+05,
44269,Boston,Massachusetts,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399700,402300,396600,390400,394500,393200,398600,397700,4.08E+05,414700,417100,418600,420100,421100,422300,425100,436400,439300,437300,4.31E+05,430700,443100,442800,447200,443500,446900,443800,441800,446200,447700,4.56E+05,460700,481500,486200,483800,483200,4.80E+05,488100,489400,498600,502800,503100,506400,506700,513400,512200,5.22E+05,518600,536800,537800,544800,536300,5.38E+05,5.27E+05,5.31E+05,546300,566900,571700,570800,569500,569600,565100,561900,563100,583500,585500,601100,578400,
16037,Seattle,Washington,18,421300,4.24E+05,4.26E+05,422900,414400,407800,404600,403200,398200,399600,396200,393700,383300,372800,366900,365700,369700,3.74E+05,377100,3.82E+05,378100,382500,389500,3.97E+05,398100,391500,3.90E+05,384400,393800,404900,4.15E+05,401900,389600,380400,390700,391500,389500,378900,371200,366200,370800,3.76E+05,382800,373500,368400,359300,365300,367900,381900,393600,400700,395100,390600,392100,400800,400300,4.06E+05,405800,406600,412600,418300,423300,419900,415600,4.20E+05,421300,428500,428600,427300,427200,430600,435300,430100,424600,424900,432300,440800,440200,444900,450500,451700,453200,4.52E+05,458300,460800,468600,474200,482600,481700,493500,491800,493500,496900,512100,523900,522300,528400,535600,544700,5.49E+05,549500,551800,552100,5.58E+05,568400,568500,576500,5.87E+05,600700,6.16E+05,621800,637900,654100,6.67E+05,674400,671400,6.76E+05,677500,6.97E+05,717800
3523,Baltimore,Maryland,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86800,81800,7.90E+04,85800,9.00E+04,8.70E+04,1.00E+05,104500,114700,107700,106300,102400,1.02E+05,102900,101400,105700,105400,101600,90200,87400,91100,9.70E+04,105900,114700,115900,1.02E+05,95800,96900,105500,97300,9.60E+04,98100,103700,94600,84400,83700,88500,92900,97100,97200,98100,92600,90400,91100,93200,98600,101400,103900,105100,92400,91200,93300,105400,1.08E+05,107200,109100,109400,110100,110200,118700,118500,115900,105500,108500,109700,1.07E+05,96800,101400,102800,101300,
11093,Denver,Colorado,20,191700,185800,177500,170300,170700,176100,175500,171600,163800,157500,148900,145700,147600,156500,163600,174200,1.80E+05,187600,190400,196900,2.01E+05,199700,196900,204300,202800,198700,1.89E+05,192700,203100,204300,206500,207300,209400,211900,206700,207800,2.01E+05,202300,2.01E+05,206600,206800,207600,206700,209300,211200,212300,214300,209900,2.11E+05,209200,217100,229100,239200,245900,247300,2.48E+05,255100,255600,255600,250100,248500,254300,256900,260400,260100,264200,269400,274400,270600,2.61E+05,258900,260200,264700,260500,264700,267800,272400,271700,273300,276700,281400,285500,2.91E+05,298400,305700,307300,306900,306200,305800,306300,307500,312400,318700,322100,333900,334700,338900,333800,334100,336200,342200,347900,352200,350300,353800,362300,365400,366900,360200,362300,360900,366700,367500,378900,385100,3.96E+05,396700,399400,402400,407200
